"Address","Style","Status","TFA SF","TBeds","TBaths","List Price","Sold Price","Sold Date","YrBlt","DOM","Lot Sq Metres"
"12223 103 Street","BUNG","X","1,040.99","4","2.0","$310,000",,,"1950","185","696.02"
"11303 111 A Avenue","BUNG","T","987.81","3","2.0","$318,900",,,"1951","19",
"11430 123 Street","BUNG","X","966.61","1","1.0","$319,000",,,"1931","104",
"3731 45 Street","BLEVL","T","564.89","3","1.0","$323,800",,,"1980","41","494.43"
"10947 72 Avenue","BUNG","T","687.28","3","2.0","$329,000",,,"1949","66","398.88"
"13846 37 Street","ST2","T","1,101.16","3","2.1","$334,999",,,"2004","74","269.82"
"8727 CONNORS Road","BUNG","T","1,297.49","3","2.1","$338,800",,,"1968","39","551.55"
"4730 105 Street","BUNG","T","924.30","3","2.0","$339,900",,,"1963","31","330.84"
"11031 64 Avenue","BUNG","X","790.19","2","1.0","$350,000",,,"1950","181","585.38"
"10748 123 Street","ST2","X","1,398.89","3","1.1","$350,000",,,"1921","93","395.55"
"13120 62 Street","BUNG","T","954.98","5","2.0","$353,400",,,"1958","45","512.22"
"10649 125 Street","ST2","T","1,348.73","3","1.1","$359,900",,,"1915","27","348.47"
"11416 169 Avenue","ST2","T","1,120.64","3","2.1","$364,888",,,"2003","34","305.98"
"163 HAWKS RIDGE Boulevard","ST2","T","1,333.23","3","3.1","$364,900",,,"2014","55","247.45"
"15003 132 Street","SPLT4","T","1,348.51","3","1.0","$369,800",,,"1999","50","466.00"
"8739 92B Avenue","BUNG","T","1,005.79","4","2.0","$369,900",,,"1953","73","511.39"
"4508 164 Avenue","BUNG","X","1,034.42","4","2.0","$374,900",,,"2006","127",
"3643 111 Avenue","BUNG","T","1,061.33","4","2.0","$375,000",,,"1962","70","568.19"
"2108 32 Street","ST2","T","1,185.12","3","2.1","$375,000",,,"2009","43","307.74"
"3107 PAISLEY Road","ST2","X","1,214.29","3","2.1","$379,000",,,"2015","92","246.00"
"10863 74 Street NW","BUNG","X","814.83","2","2.0","$379,000",,,"1929","104","715.16"
"16110 10 Avenue","ST2","X","1,321.28","2","2.1","$384,900",,,"2013","83","314.40"
