"Listing Pictures","Listing ID #","Class","PropClass","Area/City","Community","Address","Postal Code","Status","Price","DOM"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225265258/0/120/90/104d2cb3784571486b9c50d4b2f129bb/1/ecded16ef2c98268007caec746bf3fb6/225265258.JPG","E4352438","RE","SF","Stony Plain","Meridian Heights","4311 41 Avenue","T7Z 1J6","T","$324,900","6"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225253806/0/120/90/ca3ab402e85056194618089068650ba2/1/a1d580ec120838ba678fe8becabdcaea/225253806.JPG","E4340986","RE","SF","Spruce Grove","Brookwood","54 BELLEVILLE Avenue","T7X 1J5","T","$329,000","83"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225251352/0/120/90/2d4628399a3c2c6d3f50260bb17cd62a/1/f369aa125f17d75c3d8296b0a869bc88/225251352.JPG","E4338532","RE","SF","Spruce Grove","Heatherglen","116 HEATHERGLEN Crescent","T7X 3X5","X","$334,900","95"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225243710/0/120/90/97267f1595f3c433f65cfbd6555b69b3/1/e42a2815782e62b55abcf85717dc3650/225243710.JPG","E4330890","RE","SF","Fort Saskatchewan","Westpark_FSAS","86 Wyatt Ridge","T8L 0Y3","T","$395,000","150"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225262234/0/120/90/abe6c4d085bb46c745c078cd00ec5f07/1/0a0c8312707273c5522f65f93b60d4bb/225262234.JPG","E4349414","RE","SF","Stony Plain","St. Andrews","9 ABERDEEN Crescent","T7Z 1K4","T","$399,900","21"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225264674/0/120/90/1039e810f98b4079851447ba71e02dd4/1/26a14c6404882ba7474b3c606e25326d/225264674.JPG","E4351854","RE","SF","Spruce Grove","Harvest Ridge","9 Hunter Place","T7X 3W3","T","$416,800","14"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225254049/0/120/90/e9b4e398cd5cc8b7917d3afc74388407/1/7fa0e36a0873a75a029d3b6af950e834/225254049.JPG","E4341229","RE","SF","Spruce Grove","Tonewood","54 TREBLE Landing","T7X 0Z4","T","$419,900","82"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225254410/0/120/90/57ce0300c9b559f4f0b283639fb40c29/1/8a2b4e8ff0a02047de4bea057811978e/225254410.JPG","E4341590","RE","SF","Leduc","Robinson","244 Rolston Wynd","T9E 1L1","T","$424,800","77"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225261692/0/120/90/a11edc32b2d27042367a9afde5e7ca67/1/ef7646a1fdc77288da933896455652ae/225261692.JPG","E4348872","RE","SF","Leduc","Meadowview Park_LEDU","912 MORRIS Way","T9E 1E9","T","$424,900","26"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225258291/0/120/90/1d66c8e2c2899f42518d3307c64bfa0b/1/93bb429ed8ea9e2b52552afdbc62a6e1/225258291.JPG","E4345471","RE","SF","Leduc","West Haven","578 KLEINS Crescent","T9E 1J3","T","$439,500","57"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225261727/0/120/90/595699604dd3cf72ca40d3e370607df8/1/505050288e8a896f1f827c3285889027/225261727.JPG","E4348907","RE","SF","Fort Saskatchewan","Westpark_FSAS","77 WELLINGTON Place","T8L 0G3","T","$439,900","27"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225256863/0/120/90/d0cf4e28070a13397938c8299d002afc/1/781bc3aaa7e686a984a350b563924723/225256863.JPG","E4344043","RE","SF","Fort Saskatchewan","Pineview Fort Sask.","8618 92 Avenue","T8L 1A2","X","$449,900","62"
"//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225235848/0/120/90/6c41ccc72823ec97355ad449568ab353/1/d64907f03fac41d039fbe44de87a6307/225235848.JPG","E4323028","RE","SF","Beaumont","Elan","6918 52 Avenue","T4X 1V5","X","$459,900","213"
