"Add","Community","Style","TFA SF","Stat","BedsAG","TBeds","List$","Sold Price","Sold Date","YrBlt","REMOD","Bsmt Dev","PK","LotM2","DOM","Condo Fee","PC"
"11707 127 Street","Inglewood (Edmonton)","Bungalow","982.11","T","2","3","$315,000",,,"1949",,"F-FIN","OVSZ, RV, 1GDET","609.18","126",,"T5M 0V8"
"12935 116 Street NW","Calder","5 Level Split","1,738.71","T","4","4","$319,900",,,"1990","Y","F-FIN","2GDET, OVSZ","636.60","65",,"T5E 5H3"
"18703 54 Avenue","Jamieson Place","4 Level Split","930.87","T","2","4","$329,097",,,"1983",,"F-FIN","PAD","300.25","55",,"T6M 1Z4"
"10628 65 Avenue","Allendale","Bungalow","799.44","T","2","3","$329,900",,,"1950",,"F-FIN","PAD, 1CRPT, 1GDET","483.52","65",,"T6H 1V4"
"13807 26 Street","Bannerman","Bungalow","876.19","T","2","3","$334,900",,,"1978","Y","F-FIN","2GDET, HEATD","468.05","73",,"T5Y 1J4"
"10626 154 Street","Canora","Bungalow","939.80","T","2","2","$343,501",,,"1959",,"F-FIN","2GDET","687.48","56",,"T5P 2J2"
"1240 65 Street","Sakaw","Bungalow","1,075.75","T","3","4","$349,000",,,"1980",,"F-FIN","OVSZ, 1GDET","547.42","56",,"T6L 2E7"
"874 MCALLISTER Crescent","Macewan","2 Storey","1,242.06","T","3","3","$355,000",,,"2003",,"U-FIN","FRONT, FR&RE, NOGAR, OFFST, STRET, REAR",,"83",,"T6W 1K4"
"5104 92 Avenue","Ottewell","Bungalow","1,151.10","T","3","5","$369,900",,,"1962",,"F-FIN","FRONT, NOGAR, OFFST, STRET","613.11","76",,"T6B 0S1"
"9825 68 Avenue","Hazeldean","Raised Bungalow","710.96","T","2","3","$375,000",,,"1954","Y","F-FIN","1GDET","494.12","63",,"T6E 0R4"
"4115 28 Avenue","Bisset","Bungalow","1,028.72","T","3","5","$379,000",,,"1981",,"F-FIN","FRONT","482.78","31",,"T6L 4H2"
"1686 MELROSE PLACE Place","Macewan","2 Storey","1,284.15","T","3","3","$379,000",,,"2006",,"F-FIN","2GATT","298.14","68",,"T6W 1X6"
"1150 McConachie Boulevard","McConachie Area","2 Storey","1,182.21","T","3","3","$379,800",,,"2012",,"P-FIN","STRET, PAD, REAR","332.72","33",,"T5Y 0Y8"
"9224 85 Street","Strathearn","Bungalow","858.97","T","2","3","$385,000",,,"1954",,"F-FIN","PAD, 1GDET","397.43","22",,"T6C 3C7"
"11245 69 Street","Bellevue","Raised Bungalow","1,063.38","T","3","4","$389,900",,,"1956",,"F-FIN","2GDET, RV","377.30","109",,"T5B 1R6"
"7435 83 Avenue","Kenilworth","1 and Half Storey","1,219.45","T","2","3","$399,000",,,"1940",,"F-FIN","OVSZ, 1GDET","399.29","49",,"T6B 0G8"
"3735 132 Avenue","Belmont","1 and Half Storey","1,800.92","T","4","4","$399,900",,,"1975",,"F-FIN","2GATT","547.81","41",,"T5A 3E6"
"3009 16A Avenue","Laurel","2 Storey","1,282.32","T","3","3","$414,900",,,"2011",,"F-FIN","1GATT","254.98","79",,"T6T 0P8"
